Zip_Code,State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
01001,MA,131530,138366,155259,168803,191261,219477,221958,219360,207327,205498,202511,195189,193552,197625,197084,204522,215806,222689,229907,239725,261405,285280,308890,328435,347826,355098
01002,MA,187249,201166,227209,269300,307966,331638,333053,335952,331411,320551,315726,306318,305391,320560,322768,329588,335136,343142,360344,365950,398417,438569,482292,523642,554739,551903
01005,MA,132702,153696,166669,192294,213097,230845,226800,211673,198420,185040,182008,168220,158405,170702,174520,186015,203634,217131,232203,240602,267935,299181,331817,364522,389285,391312
01007,MA,172705,183307,203014,228201,258194,279049,290009,283516,268517,261197,259400,248929,246508,255146,257387,264857,273405,281507,293051,302946,330111,367541,403124,430980,460718,462361
01008,MA,120523,131420,145346,158771,166225,190939,205959,201149,207004,197813,191376,184626,185377,191076,193926,203879,211369,215499,222386,230849,256145,281066,309474,329747,351355,352191
01010,MA,142133,155432,179323,203545,234648,257431,253168,246589,240923,226798,231256,222702,213266,218599,218754,227355,235976,250590,262144,269873,303388,335346,364396,384658,411567,417476
01011,MA,122674,115838,138532,154179,152903,168402,180388,186602,177932,176693,170519,155172,150328,153162,153800,163699,169118,169812,175883,180642,204133,229825,247587,262664,285556,284125
01012,MA,143764,137337,165099,190036,205500,237144,233477,235852,233850,223375,221824,208986,200134,204776,207452,217331,224305,232355,245502,250001,277131,306468,340048,359131,387112,383532
01013,MA,106083,116876,128855,140420,159586,177737,181861,181066,171276,166903,163734,153344,151744,156711,159182,166402,172907,180474,188275,197168,221546,245737,268509,285228,303420,306675
01020,MA,115051,123789,137309,150664,168752,187624,192260,192808,185762,181039,177757,165550,161548,166640,168057,174979,180870,189822,197622,207170,231658,255251,277219,295338,314770,318851
01026,MA,121390,119106,137248,169524,178430,204719,210038,236746,233895,244959,236488,227671,225480,224152,226260,234723,242986,254763,260059,267866,293758,318584,347606,364716,386499,372364
01027,MA,154125,160430,179632,200243,231409,247284,254015,251750,244947,232564,232316,223013,222676,231899,234712,240908,246637,257752,271674,282824,306502,333872,371710,396183,411313,422161
01028,MA,157197,168011,189095,206719,234757,261799,263099,256018,241863,238722,236888,227280,225162,233058,232701,239740,243589,254743,265924,273366,298898,326947,354703,376794,398179,404098
01030,MA,137741,143960,163120,180869,203938,232618,234402,231090,221716,217742,214477,207668,208438,213632,213933,220834,229092,238044,247717,256770,282006,305913,331564,354035,372692,387274
01031,MA,133007,149426,158995,190439,210466,229221,227793,221633,203739,194303,188522,172422,170432,183114,186246,196064,212437,219692,232275,247124,277994,296781,332673,359628,385701,390395
01032,MA,137754,133265,150257,169558,181258,218450,208833,207241,210993,195018,196642,188700,189258,192203,199793,208145,211794,224621,234458,250473,274879,304894,334356,356933,387154,380147
01033,MA,149026,156057,172981,192550,216219,239101,248302,243474,232425,217029,221169,213074,213060,220917,224870,230401,238120,254143,262088,271756,293206,320122,350430,374278,397803,397880
01034,MA,131275,139221,158853,177221,198205,227438,239119,234111,235768,232858,232307,222949,225621,229695,230766,238663,249044,259682,266152,273719,296500,325451,353713,374656,396102,402170
01035,MA,171772,187771,210247,244318,282867,299532,305128,297907,294912,286191,292551,286459,290332,297490,300265,309450,318911,333063,342171,347963,377710,409144,452482,481573,505132,496693
01036,MA,156301,169896,192303,210504,235139,264727,263359,260533,250863,247604,239188,231792,234082,241081,242568,250477,256229,263512,271016,277115,305667,334464,365764,395673,419540,427926
01037,MA,179490,201783,213621,249369,277531,297932,294563,293307,271977,251912,247734,219695,213154,231436,231883,239624,256913,267347,277843,288756,318978,343081,380582,402155,423391,427247
01038,MA,177458,194357,216362,246537,288393,298726,301732,293052,297434,275674,281665,282341,283550,290726,297615,307964,321869,331644,340520,345159,378056,406247,440335,466243,486107,477860
01039,MA,190372,200833,221713,248398,280504,323964,321053,318933,308029,283073,291782,284831,282398,284803,281090,291264,294944,299934,315465,318216,348049,391958,433582,456158,473089,464766
